Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,Ranking,1>rho>0,Internationality(1>rho>0,0.1>rho>0.001,Internationality(0.1>rho>0.001,0.99>rho>0.9,Internationality(0.99>rho>0.9,0.9>rho>0.101,Internationality(0.9>rho>0.101,rho>1,Internationality(rho>1
University of Vienna,98,54,1483,257,0.5835490372,0.8267026298000001,134,0.0006894628190795317,0.6945729711537039,0.0015105026247870246,0.6945816196989044,0.9001416780287301,0.7040732270186996,0.10148423823826147,0.6956354575198844,52215.86731664082,0.0
University of Cape Town,45,15,582,95,0.4701238462,0.8367697595,136,0.0011978741654379288,0.6272356655308187,0.001045307148814012,0.6272316892396868,0.9000703363208685,0.6508373035568316,0.10127827285675639,0.6298490824964821,4854.257709961887,0.0
Tufts University,57,12,1055,376,0.3145422354,0.6436018957,139,5.492389930716879e-05,0.44993488847168167,0.0010070096198373235,0.44996233762254617,0.900014938110044,0.4761805335179591,0.10157021144367984,0.4528704302576268,62503.35287865877,0.0
Ulm University,62,23,804,221,0.4455561717,0.7251243781000001,141,0.0008075895439474401,0.5684180803055447,0.0010984720548481153,0.5684229825022622,0.9000858892687558,0.5836541090038225,0.10151892649102368,0.5701177069058676,82847.52978161706,0.0
University of Geneva,91,29,2941,300,0.38349147009999995,0.8979938796,144,0.00024371406530301898,0.586845962023659,0.0010325282240698508,0.5868878535426841,0.9000162744411357,0.6354093153158835,0.10104809593333153,0.5922220085135507,28258.038069585673,0.0
University of Exeter,47,12,1179,263,0.4255073871,0.7769296014,146,0.0007990868333234147,0.5749897606968482,0.001046560700036503,0.5749962082088562,0.9000179541645902,0.5986080573300592,0.10131594739659122,0.5776141041583501,73891.63938694085,0.0
University of Sussex,55,21,873,137,0.5006676309,0.8430698740000001,146,0.0004649658497841713,0.6497007930760634,0.0010411638956704106,0.649713500393106,0.9000118408437972,0.6696601202313349,0.10110009602610392,0.6519236878195783,61531.336067274315,0.0
University of Hamburg,80,24,1387,327,0.4589029431,0.7642393654999999,149,0.00035722806024973686,0.5922160434361062,0.001003364065718465,0.5922284866076484,0.9000345634210216,0.6096430926900264,0.10166514945634442,0.594169989824651,63322.4543226173,0.0
University of Mannheim,27,8,228,52,0.5244270833,0.7719298245999999,157,0.00027648391451018384,0.6362586646113744,0.0010813721062035708,0.6362682316514522,0.9000100470163989,0.6469889213972192,0.10117290611081553,0.6374589820459481,71314.03151714154,0.0
University of Wurzburg,72,25,1364,407,0.2612172147,0.7016129031999999,163,0.0002448079366232925,0.42811717842380703,0.0010366510195650158,0.4281585471931135,0.9000650192232397,0.47616227657078747,0.10128593796227048,0.4334261218416161,45941.55992337241,0.0
Trinity College Dublin,89,31,1122,128,0.49730607229999996,0.8859180036,164,0.00027300119438367076,0.6637638347388634,0.0010608884419255477,0.6637856307245867,0.9000059311676181,0.6888403569242681,0.10120346110460532,0.666561393578579,54074.03111334593,0.0
University of Bielefeld,81,28,1168,267,0.4525512614,0.7457191781,166,0.0005356242495535568,0.5809366811318417,0.0010219941060040233,0.5809454914054123,0.9000318042167287,0.5973217124503689,0.10169561524166715,0.5827718091370852,13329.972697800862,0.0
University of Leicester,54,19,817,187,0.5012996778000001,0.7711138311,166,0.0006502919666051543,0.6217481558476023,0.0011452548565453191,0.6217552895022674,0.9000068644788739,0.6347640484347756,0.10137818142250798,0.6232014685354036,35571.94267076656,0.0
University of Aberdeen,65,29,817,187,0.5473674968,0.7711138311,168,0.0005031621403448483,0.649683679666198,0.0010127439663379775,0.6496885403260608,0.900056938203238,0.6582867053462693,0.10125797305286333,0.6506453911773965,66357.7445623105,0.0
University of Alabama Birmingham,58,15,1075,417,0.2899114386,0.6120930232999999,172,0.0007894087159956431,0.4212746468028934,0.001006165379417362,0.42128102137770007,0.9000084608933885,0.44805172635381657,0.10201460726283529,0.42426135749610433,72252.72709806146,0.0
University of Rochester,80,22,1820,561,0.3727200255,0.6917582418000001,173,5.371175556545538e-05,0.5077730532021505,0.001023077782292492,0.5077965835906805,0.900023935154124,0.5298067821121824,0.10127865802140834,0.510235681236337,53455.534952618764,0.0
Stockholm University,36,8,4021,243,0.39546296299999995,0.9395672718000001,175,0.0004868323823852272,0.6095883230767717,0.0010077234058322726,0.6096180465815227,0.9000128868816144,0.6617834251988558,0.10136005322608943,0.6153696824079807,24318.429632408373,0.0
University of California Santa Cruz,95,26,2274,990,0.5387255164,0.6365638767,179,0.00043010475271731963,0.5856058658267767,0.0010525491335980075,0.585607134698162,0.9000035752069802,0.5874408181899279,0.10294695794615838,0.5858148839716044,58978.788204335324,0.0
University of Gothenburg,81,17,827,83,0.6153211285,0.8996372429999999,186,0.0003342872044522771,0.7440245147711192,0.0010038819950907996,0.7440335000197251,0.9000547462095817,0.7561369004386568,0.10136201860603133,0.7453813427575595,72428.36618153719,0.0
University of Munster,77,20,2025,348,0.47998285890000003,0.8281481481,189,0.0008032674376172375,0.6304923985421187,0.0010065588025265628,0.6304971651239675,0.9000055381259097,0.6517168320305093,0.10113402669672111,0.6328489419749015,57657.642266868046,0.0
